sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, auction_activity_auctiontotalsold, propertycategorisation, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
345000.0,615000.0,545000,495000,12,4500,360,330,425000,445000.0,425000,3528,530000.0,3528,565000,479000,37.0,"House",380000,685000,420,630000,68.0,3316,17.0,null,559900.0,3957,425,"31/12/2021",296000.0,400,468997.3,6361,955000.0,315,74,29500,340,9.0,400000.0,366.5217,450,300,700000.0,836000.0,400000,373.5332,870000,0.05551242,3528,270,0.03630189,201,6212,590000,1500,12.0,425000.0,295000,750000,75.69058000000001,460000,6212,"Ballarat",530000.0,700000.0,527485,463000.0,3957,"SA4_16201",445000,3.64E9,375000.0,760000.0,290,440,2.46E9,660000.0,530843.3,0.5522388,585000.0,13.0,510000.0,370.0,630000,1317825.0,506900.0,485,1250000.0,2021,25.0,552523.4,325,"VIC",420,350,506800,345000,337400.2,380,485000.0,370,621485.8,1175000.0,67.0,45.0,3.0,585770.1,400,707,5500000.0,385,81,325,3957,2.0E7,425000.0
350000.0,640000.0,585000,495000,12,20000,385,360,415000,450000.0,415000,2364,550000.0,2364,610000,480000,31.0,"House",370000,750000,450,690000,77.0,3048,21.0,null,578000.0,3706,460,"31/12/2021",300000.0,420,311251.8,4823,935000.0,340,75,36000,370,9.0,410000.0,394.894,510,330,720000.0,850000.0,395000,406.1311,920000,0.05541546,2364,280,0.03758182,202,4774,650000,1731,10.0,433100.0,290000,815900,97.51462,450168,4774,"Bendigo",550000.0,720000.0,550000,475000.0,3711,"SA4_16202",435370,2.92E9,385000.0,770000.0,310,480,2.29E9,680000.0,542164.4,0.4078947,610000.0,17.0,522000.0,397.5,690000,960094.0,526700.0,580,1200000.0,2021,21.0,559029.4,350,"VIC",450,380,526600,343149,633346.5,400,499000.0,395,618384.3,1190000.0,76.0,53.0,11.0,611009.3,440,630,3.74E7,415,10,350,3706,3650000.0,433100.0
490000.0,875000.0,659000,583500,12,89991,430,400,510440,630000.0,510440,6153,749000.0,6153,690000,565000,1231.0,"House",470900,850000,500,785000,1663.0,5201,201.0,null,780000.0,7080,525,"31/12/2021",435000.0,470,5128263.0,12088,1475000.0,370,76,76000,410,250.0,571000.0,442.0354,600,350,1000000.0,1300000.0,493123,458.6597,1199000,0.05301352,6153,300,0.0305474,203,11165,730000,3665,332.0,605000.0,395739,970000,145.4422,549000,11165,"Geelong",749000.0,1000000.0,630000,655000.0,7090,"SA4_16203",530000,8.36E9,535000.0,1150000.0,330,550,6.81E9,930000.0,663374.6,0.7496955,825000.0,193.0,712500.0,440.0,785000,2822133.0,600000.0,670,1810000.0,2021,899.0,804206.6,385,"VIC",500,420,600000,442700,582712.6,450,683000.0,440,961260.8,1550000.0,1642.0,46.0,75.0,748420.1,490,674,3.0E7,460,35,385,7080,4.3E8,605000.0
305000.0,570000.0,555000,480000,12,20000,380,350,399000,400000.0,399000,2018,485000.0,2018,585000,460000,80.0,"House",349500,715000,440,659000,144.0,2786,32.0,null,510000.0,3790,450,"31/12/2021",255000.0,420,292808.9,4364,866000.0,330,77,37050,360,16.0,360000.0,389.1128,500,320,643000.0,765000.0,378000,407.0545,895000,0.04788078,2018,270,0.04181443,204,4221,620000,6500,30.0,383000.0,270000,795000,197.1305,442000,4221,"Hume",485000.0,643000.0,530000,420250.0,3796,"SA4_16204",420000,2.46E9,336000.0,690000.0,300,470,2.1E9,601000.0,522018.5,0.5673759,540000.0,17.0,460000.0,390.0,659000,821436.0,500000.0,550,1025000.0,2021,50.0,499937.5,340,"VIC",440,370,500000,319000,362993.7,400,440000.0,390,553062.8,1125000.0,141.0,64.0,14.0,583723.9,430,998,1.0E7,400,20,340,3790,4000000.0,383000.0
268500.0,575000.0,549000,475000,12,20000,360,330,382000,378000.0,382000,3319,480000.0,3322,575000,450000,66.0,"House",325000,699000,430,650000,131.0,6369,25.0,null,509000.0,8079,450,"31/12/2021",228800.0,400,297149.3,10934,857500.0,310,78,12,350,17.0,325000.0,374.029,475,295,650000.0,765000.0,350000,398.8602,878300,0.0471524,3319,250,0.040625,205,10671,601500,3500,23.0,350000.0,240000,775000,218.8877,431966,10671,"Latrobe - Gippsland",480000.0,650000.0,525000,400000.0,8084,"SA4_16205",404300,6.0E9,295000.0,700000.0,275,450,4.36E9,610000.0,500735.9,0.5116279,540000.0,27.0,450000.0,375.0,650000,1323817.0,495696.0,520,1050000.0,2021,43.0,480792.3,320,"VIC",430,350,495696,287500,332627.7,380,427000.0,375,540245.2,1100000.0,129.0,80.0,13.0,562078.4,420,2891,1.1E7,390,22,320,8079,5400000.0,350000.0
865000.0,1750000.0,1460000,1250000,12,157500,580,500,950000,1220500.0,950000,13483,1485000.0,13484,1550000,1175000,3691.0,"House",800000,2000000,750,1800000,5056.0,3195,716.0,null,1555000.0,6470,790,"31/12/2021",720000.0,675,1593453.0,7321,2900000.0,450,79,10,530,854.0,1056000.0,597.3563,925,420,2010000.0,2485177.0,890000,643.1821,2850000,0.06265736,13483,330,0.02099596,206,5093,1680000,10000,1333.0,1150000.0,495000,2350000,289.2626,1100000,5093,"Melbourne - Inner",1486000.0,2010000.0,1395000,1285000.0,6525,"SA4_16206",1000000,8.79E9,970000.0,2235000.0,385,850,1.19E10,1865000.0,1349954.0,0.7368736,1650000.0,746.0,1401000.0,600.0,1800000,8672025.0,1300000.0,1100,3915000.0,2021,2358.0,1552353.0,480,"VIC",750,550,1300000,690000,1961510.0,620,1350000.0,600,1839316.0,4000000.0,5009.0,52.0,135.0,1725788.0,700,353,4.0E7,650,40,480,6470,4.31E7,1150000.0
1075000.0,2006000.0,1600000,1375000,12,22770,550,480,1100000,1396000.0,1100000,5551,1660000.0,5552,1700000,1300000,3026.0,"House",980000,2300000,720,2000000,4138.0,3260,551.0,null,1751000.0,5481,770,"31/12/2021",937000.0,650,1268258.0,6605,3340000.0,440,80,1212,500,790.0,1262000.0,588.0215,920,420,2390000.0,2900000.0,1050000,633.6871,3000000,0.06278009999999999,5551,360,0.01769879,207,4556,1850000,8000,873.0,1325500.0,750000,2590000,295.7525,1250000,4556,"Melbourne - Inner East",1660000.0,2390000.0,1500000,1451000.0,5550,"SA4_16207",1200000,8.28E9,1185000.0,2620000.0,395,840,1.11E10,2195000.0,1539446.0,0.7382289000000001,1862000.0,637.0,1580000.0,565.0,2000000,3517597.0,1450000.0,1170,4050000.0,2021,2153.0,1793009.0,450,"VIC",720,520,1450000,890000,1589118.0,595,1518000.0,565,2016475.0,4000000.0,4099.0,61.0,140.0,1817224.0,690,260,4.0E7,620,70,450,5481,4.05E7,1325500.0
900000.0,1900000.0,1550000,1300000,12,30000,600,520,1000000,1292500.0,1000000,6324,1605000.0,6325,1650000,1210000,3295.0,"House",850000,2000000,800,1850000,4318.0,3299,536.0,null,1700000.0,6237,850,"31/12/2021",780000.0,740,1244550.0,6821,3100000.0,475,81,69000,550,732.0,1105000.0,652.9947,1095,450,2200000.0,2670000.0,929000,710.9630000000001,2743125,0.0531428,6324,380,0.02041122,208,5264,1750000,5000,1166.0,1210000.0,650000,2300000,347.1634,1150000,5264,"Melbourne - Inner South",1605000.0,2200000.0,1450000,1364000.0,6289,"SA4_16208",1090000,8.75E9,1000000.0,2400000.0,420,940,1.18E10,2020000.0,1409419.0,0.77058,1795000.0,522.0,1525000.0,630.0,1850000,4496130.0,1370000.0,1350,4016000.0,2021,2129.0,1649829.0,495,"VIC",800,580,1370000,770000,1265476.0,650,1440000.0,630,1898437.0,3650000.0,4276.0,51.0,114.0,1662060.0,775,345,2.1E7,695,12,495,6237,2.5E7,1210000.0
567000.0,940000.0,660000,595000,12,41000,400,385,528968,690000.0,528968,9346,812000.0,9346,693749,580000,3274.0,"House",493000,850000,480,785508,4472.0,5030,560.0,null,850000.0,8664,500,"31/12/2021",516500.0,450,464726.1,15741,1402000.0,370,82,15000,390,707.0,633000.0,428.4673,560,360,1080000.0,1271000.0,510000,440.7121,1100000,0.04842016,9346,330,0.02657636,209,13629,730000,2511,1014.0,660000.0,435640,940000,116.2442,560000,13629,"Melbourne - North East",812000.0,1080000.0,636492,715500.0,8686,"SA4_16209",546572,9.86E9,601000.0,1175000.0,350,530,8.1E9,999999.0,664947.3,0.7375535,891500.0,636.0,776000.0,415.0,785508,4118895.0,612285.0,630,1700000.0,2021,2260.0,861131.4,380,"VIC",480,400,612285,472600,390905.6,420,743000.0,415,934864.5,1350000.0,4439.0,54.0,153.0,723698.9,460,534,1.02E7,435,40,380,8664,9400000.0,660000.0
500500.0,800000.0,640000,580000,12,141000,400,375,514900,605000.0,514900,8410,695000.0,8410,661487,565747,2826.0,"House",479181,770000,450,725000,4081.0,5087,660.0,null,724000.0,8232,470,"31/12/2021",455000.0,430,442155.5,14067,1185000.0,360,83,12,380,648.0,562500.0,415.3904,525,350,900000.0,1047500.0,499000,424.8176,920000,0.04787439,8410,320,0.02992806,210,12124,690000,2739,1130.0,587500.0,409000,830000,110.0205,550000,12124,"Melbourne - North West",695000.0,900000.0,619000,625000.0,8244,"SA4_16210",533378,8.21E9,535000.0,955000.0,340,499,6.59E9,845000.0,627806.8,0.7043868000000001,756000.0,545.0,670000.0,400.0,725000,3572716.0,599000.0,590,1420019.0,2021,1696.0,740880.1,370,"VIC",450,390,599000,450000,435457.2,410,645000.0,400,800319.2,1195000.0,4012.0,55.0,194.0,676998.7,445,604,2.63E7,420,48,370,8232,1.6E7,587500.0
666000.0,1050000.0,890000,790000,12,40000,450,420,690000,800000.0,690000,5125,925000.0,5125,930000,770000,2191.0,"House",645000,1100000,520,1050000,2887.0,5686,357.0,null,958000.0,8362,550,"31/12/2021",605500.0,495,405920.6,9211,1451000.0,400,84,12,430,465.0,740000.0,470.4461,600,395,1170000.0,1325000.0,670000,480.0827,1350000,0.05977859,5125,360,0.02585946,211,7859,980000,1600,680.0,770000.0,550000,1200000,102.8307,750000,7859,"Melbourne - Outer East",925000.0,1170000.0,850000,830000.0,8384,"SA4_16211",720000,7.43E9,710000.0,1250000.0,380,570,8.53E9,1100000.0,868564.8,0.7631486999999999,1000000.0,299.0,892000.0,460.0,1050000,2460424.0,820000.0,650,1700000.0,2021,1511.0,961645.1,415,"VIC",520,450,820000,600000,511774.0,470,860500.0,460,1020560.0,1700000.0,2871.0,39.0,151.0,945113.5,500,421,1.1E7,480,30,415,8362,6900000.0,770000.0
528000.0,840000.0,680000,620000,12,165000,420,390,550000,635000.0,550000,14070,730000.0,14071,700000,600000,1977.0,"House",510000,810000,490,770000,2922.0,10721,427.0,null,759000.0,14440,510,"31/12/2021",479000.0,455,433594.3,27305,1380000.0,375,85,10,400,613.0,590000.0,440.1349,590,365,960000.0,1218880.0,533000,452.1483,990000,0.04602053,14070,330,0.03027397,212,24804,735400,3042,555.0,612500.0,450000,880000,121.5451,585000,24804,"Melbourne - South East",730000.0,960000.0,659940,655000.0,14472,"SA4_16212",569900,1.79E10,561000.0,1065000.0,350,550,1.24E10,895000.0,670247.0,0.6831375,795000.0,451.0,700000.0,425.0,770000,6361727.0,640000.0,650,1630000.0,2021,1422.0,791706.6,380,"VIC",490,410,640000,490000,403284.5,440,678000.0,425,861395.3,1250000.0,2894.0,49.0,183.0,720086.1,470,993,2.5E7,450,30,380,14440,9500000.0,612500.0
470000.0,730000.0,594105,550000,12,1,380,360,491480,574900.0,491480,22453,650000.0,22453,606904,537890,3025.0,"House",454844,689000,440,650000,4758.0,11386,851.0,null,675000.0,15418,450,"31/12/2021",435000.0,410,322670.8,37774,1100000.0,350,86,10,370,814.0,530000.0,399.5815,520,335,820000.0,950000.0,475493,409.3124,800000,0.04223144,22453,310,0.0312,213,35989,630000,2174,1171.0,550000.0,395000,735000,100.8938,523000,35989,"Melbourne - West",650000.0,820000.0,580000,595000.0,15431,"SA4_16213",505428,2.19E10,502000.0,870000.0,320,480,1.13E10,770000.0,577237.4,0.6525022,700000.0,650.0,630000.0,390.0,650000,9190292.0,565000.0,595,1330000.0,2021,1854.0,687671.6,350,"VIC",440,375,565000,430000,258679.4,395,611000.0,390,735779.4,977900.0,4636.0,63.0,333.0,609502.8,420,1985,1.55E7,400,30,350,15418,5280000.0,550000.0
607000.0,1120000.0,900000,780000,12,79000,450,420,650000,750000.0,650000,3303,900000.0,3303,1000000,750000,1036.0,"House",590000,1400000,570,1250000,1339.0,5665,159.0,null,957500.0,7523,600,"31/12/2021",555000.0,510,1021345.0,7961,2050000.0,395,87,45000,430,228.0,680000.0,494.9447,730,380,1370000.0,1712500.0,620000,528.0248,1995000,0.05091818,3303,340,0.02657778,214,7554,1120000,5000,273.0,720000.0,495000,1600000,246.6848,700000,7554,"Mornington Peninsula",900000.0,1370000.0,860000,780000.0,7542,"SA4_16214",685000,9.61E9,649000.0,1510000.0,360,650,9.08E9,1245000.0,936656.6,0.7830688,1020250.0,137.0,858500.0,460.0,1250000,1744066.0,807500.0,900,2750000.0,2021,763.0,1023905.0,400,"VIC",570,440,805000,550000,1.15E7,480,820000.0,460,1206575.0,2750000.0,1323.0,38.0,47.0,1271918.0,550,577,1.0E9,495,94,400,7523,3.0E7,720000.0
139000.0,371000.0,365000,300000,12,6000,325,295,230000,238000.0,230000,1749,317500.0,1749,390000,289000,53.0,"House",185000,465607,385,441607,96.0,2459,8.0,null,335000.0,3344,400,"31/12/2021",100000.0,360,272071.7,3597,570000.0,270,88,13950,300,8.0,190000.0,327.8236,448,250,425000.0,499500.0,205000,339.267,550000,0.06046769,1749,210,0.05404725,215,3538,415000,1200,19.0,215000.0,120000,499000,92.76231,270000,3538,"North West",317500.0,425000.0,345000,256000.0,3344,"SA4_16215",250000,1.25E9,166000.0,456500.0,235,420,1.15E9,400000.0,308362.3,0.5638298,350000.0,20.0,299000.0,330.0,441607,593378.0,325000.0,475,675000.0,2021,34.0,291906.0,280,"VIC",385,310,325000,158000,194724.5,340,275000.0,330,342611.8,675000.0,94.0,61.0,15.0,352825.8,374,734,2750000.0,350,120,280,3344,1.19E7,215000.0
230000.0,458000.0,445699,392700,12,40000,350,310,319000,315000.0,319000,1563,392500.0,1563,468500,376987,95.0,"House",269000,564150,420,525000,136.0,1850,18.0,null,415000.0,2677,430,"31/12/2021",193000.0,390,259947.9,3340,680000.0,290,89,23990,320,18.0,275000.0,352.5245,470,280,525000.0,620000.0,290000,368.6219,685000,0.04359823,1563,245,0.04636943,216,3151,495000,8000,42.0,299500.0,199000,615000,213.0196,355300,3151,"Shepparton",392500.0,525000.0,428375,335000.0,2678,"SA4_16216",340000,1.42E9,255000.0,570000.0,265,450,1.18E9,485000.0,405856.4,0.6834533,440000.0,17.0,372500.0,350.0,525000,576156.0,409950.0,520,798000.0,2021,53.0,394344.8,300,"VIC",420,330,409950,240000,269007.9,370,350000.0,350,439910.4,810000.0,139.0,85.0,9.0,451597.5,400,632,7900000.0,380,16,300,2677,6693474.0,299500.0
235000.0,530000.0,499500,420000,12,31860,370,340,339900,350000.0,339900,1171,440000.0,1171,550000,395000,171.0,"House",280000,725000,440,655000,221.0,1863,20.0,null,465000.0,2634,450,"31/12/2021",187500.0,400,371746.1,2824,860000.0,310,90,15000,350,18.0,300000.0,380.8013,500,300,625000.0,750000.0,310000,409.152,940000,0.05694926,1171,250,0.04490909,217,2643,600000,6475,39.0,325000.0,199000,800000,273.9493,379000,2643,"Warrnambool And South West",440000.0,625000.0,475000,373555.0,2640,"SA4_16217",359000,1.89E9,269000.0,680000.0,275,480,1.38E9,580000.0,471620.0,0.7808219,495000.0,27.0,415000.0,380.0,655000,479117.0,447000.0,570,1060000.0,2021,132.0,446452.4,330,"VIC",440,360,447000,245000,7789009.0,390,393000.0,380,524001.0,1250000.0,219.0,91.0,9.0,713396.7,420,723,4.0E8,400,50,330,2634,5511770.0,325000.0
