,median_income,sa2_code,sa2_name
163,50183.0,210051250,Tullamarine
281,50208.0,213041462,Burnside Heights
160,50279.0,210051246,Greenvale - Bulla
180,50280.0,211031267,Ringwood East
297,50307.0,214011374,Langwarrin
204,50336.0,212031306,Lynbrook - Lyndhurst
93,50347.0,208031191,Moorabbin - Heatherton
292,50388.0,213051468,Werribee - West
267,50429.0,213031351,West Footscray - Tottenham
97,50434.0,209021429,Preston - West
141,50448.0,210011228,Keilor
192,50490.0,211051274,Belgrave - Selby
31,50537.0,208031187,Chelsea Heights
287,50542.0,213051368,Werribee - South
182,50594.0,211011449,The Basin
33,50613.0,206011108,Coburg
35,50643.0,206011107,Brunswick West
30,50643.0,206041126,Southbank
67,50649.0,207011148,Balwyn North
223,50678.0,212031303,Cranbourne South
28,50716.0,208031184,Braeside
2,50727.0,210041241,Sunbury - South
189,50774.0,211041270,Mitcham (Vic.)
136,50913.0,209041224,Wallan
112,50947.0,212031301,Cranbourne East
91,51032.0,208031188,Cheltenham - Highett (East)
181,51044.0,211031268,Ringwood North
173,51125.0,211011258,Rowville - South
26,51133.0,208031183,Aspendale Gardens - Waterways
255,51219.0,213021343,Altona North
265,51243.0,213021345,Seabrook
178,51268.0,211031265,Croydon Hills - Warranwood
270,51291.0,213031349,Maribyrnong
23,51321.0,208021427,Bentleigh East (South)
18,51342.0,206041118,Docklands
206,51408.0,211051284,Upwey - Tecoma
130,51442.0,209041434,Mernda
1,51489.0,210041240,Sunbury
15,51576.0,206011105,Brunswick
215,51645.0,212021294,Berwick - South
273,51733.0,213041353,Bacchus Marsh
167,51754.0,210051445,Mickleham - Yuroke
29,51864.0,208021176,Carnegie
44,52037.0,208021426,Bentleigh East (North)
76,52287.0,208031185,Carrum - Patterson Lakes
34,52289.0,208021182,Ormond - Glen Huntly
279,52300.0,213041360,Taylors Hill
131,52318.0,209041435,South Morang (North)
92,52385.0,208031190,Mentone
299,52393.0,214011376,Skye - Sandhurst
27,52454.0,208021181,Murrumbeena
209,52486.0,212011287,Beaconsfield - Officer
274,52568.0,213041355,Hillside
121,52582.0,209011203,Viewbank - Yallambie
148,52653.0,210021234,Riddells Creek
6,52729.0,208021180,Hughesdale
171,52858.0,211011255,Lysterfield
55,53066.0,206051133,St Kilda
282,53155.0,213041463,Caroline Springs
289,53208.0,213051464,Point Cook - East
153,53302.0,210031239,Pascoe Vale
40,53351.0,206021112,Thornbury
290,53362.0,213051465,Point Cook - North
9,53472.0,209011197,Greensborough
96,53514.0,209011204,Watsonia
104,53575.0,210011226,Airport West
113,53646.0,209011198,Heidelberg - Rosanna
138,53676.0,209041430,Doreen
90,53769.0,208031186,Chelsea - Bonbeach
25,53843.0,208021174,Bentleigh - McKinnon
124,53989.0,209031215,Wattle Glen - Diamond Creek
53,54090.0,206051131,Port Melbourne Industrial
