fid, percentile_ratos_p20_p50_ratio, percentile_ratos_p80_p20_ratio, income_share_top_5pc_pc, median_aud, highest_quartile_pc, median_age_of_earners_years, sa2_code, third_quartile_pc, sa2_name, percentile_ratos_p80_p50_ratio, earners_persons, gini_coefficient_coef, income_share_top_1pc_pc, lowest_quartile_pc, mean_aud, sum_aud, second_quartile_pc, percentile_ratos_p10_p50_ratio, income_share_top_10pc_pc
816,0.36,5.37,19.3,54505.0,32.5,45.0,"210021232",22.3,"Gisborne",1.95,7918.0,0.466,6.4,22.9,69011.0,5.46427676E8,22.3,0.16,30.8
896,0.44,3.58,14.2,45153.0,13.4,39.0,"212031300",32.1,"Cranbourne",1.57,10563.0,0.371,4.0,23.3,47948.0,5.0647245E8,31.1,0.21,24.1
817,0.34,5.99,27.1,56058.0,35.3,48.0,"210021233",20.5,"Macedon",2.06,2079.0,0.531,13.7,23.0,82834.0,1.72212798E8,21.3,0.14,38.4
818,0.39,4.7,17.4,52653.0,28.3,46.0,"210021234",25.6,"Riddells Creek",1.83,2567.0,0.438,5.3,22.3,62928.0,1.61536011E8,23.8,0.18,28.5
819,0.4,4.55,21.4,48804.0,24.4,46.0,"210021235",26.1,"Romsey",1.82,5457.0,0.47,9.3,23.5,61204.0,3.33990914E8,26.0,0.17,32.1
820,0.4,4.58,16.9,48607.0,24.3,38.0,"210031236",26.0,"Coburg North",1.82,4649.0,0.422,6.0,23.2,57651.0,2.68020676E8,26.5,0.2,27.5
821,0.38,4.82,17.0,40000.0,16.5,37.0,"210031237",24.8,"Fawkner",1.86,6358.0,0.438,5.3,30.6,47835.0,3.04132498E8,28.1,0.17,28.2
823,0.41,4.31,15.9,44033.0,17.9,35.0,"210031438",27.4,"Glenroy",1.75,11963.0,0.417,4.7,26.3,50127.0,5.99666289E8,28.4,0.19,26.7
822,0.4,4.41,16.2,53302.0,27.4,38.0,"210031239",27.5,"Pascoe Vale",1.75,14023.0,0.413,5.0,21.6,61327.0,8.59992753E8,23.5,0.19,26.9
824,0.43,4.05,16.3,56136.0,30.1,42.0,"210031439",27.1,"Gowanbrae",1.73,1797.0,0.408,4.9,18.9,65536.0,1.17768942E8,23.8,0.21,27.1
828,0.37,4.74,15.6,34939.0,9.4,34.0,"210051242",24.6,"Broadmeadows",1.77,5159.0,0.42,4.6,34.3,39929.0,2.05993004E8,31.7,0.17,26.5
832,0.41,4.22,15.0,37000.0,9.4,37.0,"210051247",26.3,"Meadow Heights",1.73,5532.0,0.407,4.4,31.3,41252.0,2.2820691E8,33.0,0.2,25.5
833,null,null,null,45697.0,26.2,49.0,"210051248",16.4,"Melbourne Airport",null,64.0,null,null,34.4,62576.0,4004883.0,23.0,null,null
829,0.4,4.45,18.6,35553.0,10.3,37.0,"210051243",25.2,"Campbellfield - Coolaroo",1.78,6009.0,0.438,7.1,33.4,42682.0,2.56473793E8,31.1,0.19,29.1
830,0.41,4.05,15.8,48406.0,20.3,43.0,"210051245",29.7,"Gladstone Park - Westmeadows",1.68,9906.0,0.406,4.8,23.0,54159.0,5.36495262E8,27.0,0.2,26.3
831,0.42,4.24,18.4,50279.0,25.5,41.0,"210051246",26.8,"Greenvale - Bulla",1.8,10544.0,0.435,6.5,21.5,61184.0,6.45128292E8,26.1,0.22,29.4
862,0.38,4.57,15.9,49905.0,23.5,42.0,"211031452",27.7,"Croydon South",1.73,2715.0,0.417,4.6,23.7,56606.0,1.53685116E8,25.1,0.16,26.8
834,0.41,4.24,15.8,41104.0,14.3,39.0,"210051249",27.4,"Roxburgh Park - Somerton",1.74,9247.0,0.408,4.7,28.3,47044.0,4.35017473E8,30.0,0.22,26.4
835,0.42,3.78,14.0,50183.0,18.9,40.0,"210051250",33.1,"Tullamarine",1.59,3502.0,0.374,3.8,21.9,53305.0,1.8667277E8,26.0,0.2,24.0
836,0.45,3.54,14.2,45816.0,15.0,38.0,"210051441",31.4,"Craigieburn - Central",1.61,4363.0,0.368,4.0,22.1,49550.0,2.16185238E8,31.5,0.23,24.2
837,0.43,3.84,14.7,48145.0,19.2,37.0,"210051442",30.5,"Craigieburn - North",1.66,6082.0,0.383,4.2,22.2,53313.0,3.2424763E8,28.1,0.24,25.0
839,0.44,3.78,14.2,46931.0,17.3,34.0,"210051444",31.0,"Craigieburn - West",1.64,7497.0,0.378,4.0,22.8,51004.0,3.82377033E8,28.9,0.22,24.3
840,0.46,3.43,16.4,51754.0,20.5,35.0,"210051445",34.2,"Mickleham - Yuroke",1.59,3118.0,0.38,6.1,19.1,57858.0,1.8040212E8,26.2,0.25,26.2
841,0.39,4.32,15.9,46680.0,18.8,40.0,"211011251",29.2,"Bayswater",1.7,7021.0,0.41,4.9,25.1,52117.0,3.65910202E8,26.9,0.17,26.3
842,0.39,4.61,17.6,47376.0,21.8,42.0,"211011254",27.4,"Knoxfield - Scoresby",1.78,9104.0,0.434,6.0,24.8,55621.0,5.06372208E8,26.0,0.16,28.4
838,0.44,3.72,14.4,46676.0,16.6,36.0,"210051443",31.5,"Craigieburn - South",1.62,8962.0,0.38,4.0,22.6,50651.0,4.53933422E8,29.3,0.23,24.6
843,0.42,4.62,21.2,52858.0,30.5,45.0,"211011255",23.8,"Lysterfield",1.94,4480.0,0.466,8.0,20.5,70468.0,3.15696851E8,25.2,0.22,32.6
845,0.39,4.75,16.7,49996.0,26.5,44.0,"211011257",25.1,"Rowville - North",1.85,5000.0,0.43,4.9,23.7,59852.0,2.99259401E8,24.7,0.17,28.0
846,0.39,4.71,18.1,51125.0,26.8,45.0,"211011258",25.9,"Rowville - South",1.85,6875.0,0.439,5.9,22.8,61937.0,4.25816828E8,24.5,0.18,29.2
847,0.36,5.29,17.4,45406.0,22.8,44.0,"211011259",24.7,"Wantirna",1.88,8487.0,0.445,5.2,27.2,54898.0,4.6591639E8,25.3,0.15,28.7
844,0.4,4.42,17.5,48443.0,22.9,43.0,"211011256",27.2,"Rowville - Central",1.79,9528.0,0.429,5.6,23.6,57342.0,5.46352018E8,26.3,0.18,28.4
849,0.41,4.05,15.3,47526.0,18.9,41.0,"211011446",30.2,"Boronia",1.67,12903.0,0.399,4.6,23.2,52485.0,6.77219354E8,27.7,0.18,25.7
850,0.4,4.32,15.9,48232.0,21.2,42.0,"211011447",28.6,"Ferntree Gully (North)",1.72,8122.0,0.408,5.1,23.9,54243.0,4.40558137E8,26.3,0.19,26.3
856,0.38,4.96,17.9,51268.0,28.8,45.0,"211031265",23.8,"Croydon Hills - Warranwood",1.91,11572.0,0.444,5.6,22.9,63648.0,7.36530076E8,24.6,0.18,29.3
851,0.41,4.26,15.5,48124.0,21.9,43.0,"211011448",27.9,"Ferntree Gully (South) - Upper Ferntree Gully",1.75,8886.0,0.408,4.4,23.2,55086.0,4.8949398E8,27.0,0.19,26.3
858,0.37,4.92,17.4,50280.0,26.1,43.0,"211031267",25.7,"Ringwood East",1.83,12115.0,0.457,5.4,24.2,59038.0,7.15242368E8,24.1,0.16,28.7
859,0.37,5.38,19.5,51044.0,29.4,46.0,"211031268",22.8,"Ringwood North",1.97,6098.0,0.471,6.6,24.6,64903.0,3.95779204E8,23.2,0.15,31.1
852,0.4,4.28,17.1,50594.0,23.5,43.0,"211011449",28.3,"The Basin",1.71,2628.0,0.418,6.1,22.3,57941.0,1.5227012E8,25.9,0.17,27.7
853,0.33,6.4,25.4,49979.0,30.8,48.0,"211021261",20.5,"Donvale - Park Orchards",2.13,10206.0,0.538,10.0,27.1,73972.0,7.54955202E8,21.6,0.13,38.1
854,0.36,6.01,27.7,54155.0,34.1,48.0,"211021262",20.3,"Warrandyte - Wonga Park",2.17,6791.0,0.542,13.3,23.1,84300.0,5.72480433E8,22.6,0.16,39.4
860,0.41,4.12,15.0,48752.0,21.4,40.0,"211031450",29.1,"Croydon - East",1.71,8678.0,0.397,4.3,22.4,54370.0,4.71826046E8,27.2,0.19,25.4
861,0.37,5.01,17.9,48598.0,23.7,44.0,"211031451",26.5,"Croydon - West",1.84,7780.0,0.448,5.5,25.0,57938.0,4.50754312E8,24.8,0.14,29.3
855,0.42,4.06,16.3,49855.0,21.7,42.0,"211031263",30.2,"Bayswater North",1.69,7009.0,0.401,5.6,22.0,56324.0,3.94775315E8,26.2,0.21,26.5
863,0.33,5.94,18.7,44518.0,23.2,43.0,"211041269",23.7,"Forest Hill",1.95,6100.0,0.469,6.0,28.9,55585.0,3.39066871E8,24.1,0.13,30.3
864,0.36,5.27,18.3,50774.0,28.3,42.0,"211041270",24.1,"Mitcham (Vic.)",1.88,10137.0,0.453,6.1,24.6,62012.0,6.28614244E8,23.0,0.14,29.5
866,0.31,6.38,19.0,46970.0,25.9,44.0,"211041272",22.9,"Vermont",1.99,6306.0,0.475,6.4,27.8,58903.0,3.71442566E8,23.3,0.11,30.6
865,0.34,5.58,18.1,48849.0,25.6,41.0,"211041271",24.7,"Nunawading",1.9,6983.0,0.458,5.5,26.6,58876.0,4.11133398E8,23.1,0.13,29.6
868,0.39,4.71,20.8,50490.0,25.7,44.0,"211051274",26.3,"Belgrave - Selby",1.82,6171.0,0.459,8.6,23.4,62727.0,3.87090531E8,24.6,0.17,31.5
869,0.38,4.71,17.8,49304.0,23.1,44.0,"211051275",27.8,"Chirnside Park",1.77,6479.0,0.436,5.8,23.9,57778.0,3.74342052E8,25.2,0.16,28.7
870,0.4,4.62,18.5,43147.0,18.9,46.0,"211051276",25.4,"Healesville - Yarra Glen",1.83,7908.0,0.447,6.3,26.4,52092.0,4.11947435E8,29.3,0.17,29.5
871,0.41,4.05,15.9,47591.0,19.0,42.0,"211051277",30.1,"Kilsyth",1.67,5304.0,0.4,4.8,23.1,53601.0,2.84297739E8,27.8,0.19,26.3
872,0.41,4.35,18.3,47862.0,22.0,44.0,"211051278",27.5,"Lilydale - Coldstream",1.77,11457.0,0.434,6.2,23.6,56658.0,6.49132682E8,27.0,0.18,29.1
873,0.38,4.85,19.8,44915.0,21.5,46.0,"211051279",24.9,"Monbulk - Silvan",1.86,3497.0,0.462,6.8,26.1,56035.0,1.95952842E8,27.4,0.16,31.1
874,0.4,4.3,18.0,49794.0,23.6,44.0,"211051280",27.8,"Montrose",1.74,4091.0,0.426,6.4,22.5,58637.0,2.39882414E8,26.2,0.2,28.7
875,0.42,4.14,16.2,49058.0,22.2,41.0,"211051281",28.6,"Mooroolbark",1.73,13191.0,0.407,5.1,22.4,56125.0,7.40347525E8,26.9,0.19,26.8
876,0.34,5.84,20.0,48432.0,27.9,48.0,"211051282",22.1,"Mount Dandenong - Olinda",1.96,6087.0,0.481,6.8,26.8,62514.0,3.80525366E8,23.1,0.14,31.7
885,0.45,3.59,14.5,48702.0,17.7,36.0,"212011291",32.7,"Pakenham - North",1.6,10443.0,0.372,4.3,21.1,52501.0,5.48264538E8,28.5,0.23,24.4
877,0.41,4.37,16.4,47003.0,22.0,43.0,"211051283",26.5,"Mount Evelyn",1.79,5834.0,0.417,4.9,23.6,55022.0,3.209985E8,27.9,0.19,27.1
893,0.39,4.39,16.0,45339.0,18.6,42.0,"212021454",27.9,"Endeavour Hills - South",1.73,7687.0,0.412,4.7,25.4,51398.0,3.95095392E8,28.1,0.18,26.6
902,0.45,3.69,17.8,50336.0,20.9,38.0,"212031306",31.4,"Lynbrook - Lyndhurst",1.65,8733.0,0.401,7.8,20.2,57186.0,4.9940252E8,27.5,0.25,27.6
903,0.43,4.06,17.1,47881.0,21.0,45.0,"212031308",28.5,"Pearcedale - Tooradin",1.73,4680.0,0.417,5.5,22.4,55725.0,2.60792998E8,28.0,0.22,27.7
878,0.41,4.32,15.6,51408.0,25.8,44.0,"211051284",27.2,"Upwey - Tecoma",1.76,6163.0,0.408,4.5,21.8,58940.0,3.63248522E8,25.1,0.2,26.3
879,0.41,4.36,19.7,47013.0,21.4,45.0,"211051285",27.2,"Wandin - Seville",1.77,4856.0,0.446,7.5,24.0,56818.0,2.75906552E8,27.4,0.19,30.4
880,0.42,4.1,16.5,43275.0,16.4,45.0,"211051286",27.8,"Yarra Valley",1.73,8968.0,0.421,5.4,25.9,49383.0,4.42863587E8,30.0,0.2,27.2
881,0.42,4.01,17.5,52486.0,25.1,39.0,"212011287",29.2,"Beaconsfield - Officer",1.69,9147.0,0.412,6.1,20.5,60920.0,5.57231732E8,25.3,0.22,27.8
882,0.43,4.38,17.4,44303.0,21.0,46.0,"212011288",25.0,"Bunyip - Garfield",1.86,5195.0,0.439,5.6,25.3,53570.0,2.78294338E8,28.7,0.18,28.4
883,0.4,4.53,19.5,48793.0,24.7,45.0,"212011289",25.6,"Emerald - Cockatoo",1.83,10803.0,0.449,7.1,23.2,60040.0,6.48608037E8,26.4,0.19,30.4
884,0.43,4.03,18.9,44652.0,17.8,43.0,"212011290",28.2,"Koo Wee Rup",1.73,4311.0,0.439,7.5,23.8,52552.0,2.26551699E8,30.2,0.21,29.2
886,0.43,3.87,14.9,47372.0,18.2,38.0,"212011292",30.7,"Pakenham - South",1.65,15355.0,0.389,4.3,22.8,52076.0,7.99627859E8,28.3,0.21,25.2
887,0.37,5.1,20.8,49083.0,26.4,45.0,"212021293",24.3,"Berwick - North",1.91,13852.0,0.471,8.0,24.7,62974.0,8.72312855E8,24.6,0.17,32.1
888,0.41,4.29,16.4,51645.0,25.1,41.0,"212021294",28.2,"Berwick - South",1.74,14686.0,0.414,5.2,21.8,59411.0,8.72510925E8,24.9,0.19,27.1
889,0.44,3.6,13.6,38878.0,7.7,36.0,"212021295",28.8,"Doveton",1.58,5048.0,0.372,3.6,28.2,41075.0,2.07347758E8,35.4,0.21,23.7
890,0.42,3.97,16.6,43385.0,14.2,40.0,"212021297",29.6,"Hallam",1.67,5515.0,0.403,6.1,25.8,48566.0,2.67843979E8,30.4,0.2,26.6
891,0.39,5.09,23.9,50080.0,28.4,46.0,"212021299",23.2,"Narre Warren North",2.0,5079.0,0.498,10.5,23.5,69624.0,3.53619346E8,24.9,0.2,35.5
892,0.41,4.14,19.1,46517.0,19.0,42.0,"212021453",28.8,"Endeavour Hills - North",1.71,6486.0,0.431,7.8,24.5,54144.0,3.51175321E8,27.7,0.19,29.3
894,0.42,4.02,15.0,46930.0,18.7,42.0,"212021455",29.4,"Narre Warren - North East",1.69,7736.0,0.396,4.5,23.4,51939.0,4.01801577E8,28.5,0.21,25.4
895,0.45,3.56,14.2,46024.0,14.2,39.0,"212021456",32.5,"Narre Warren - South West",1.58,7522.0,0.37,4.1,22.4,49224.0,3.70260764E8,30.9,0.23,24.2
898,0.45,3.56,14.0,48130.0,17.8,37.0,"212031302",32.0,"Cranbourne North",1.62,11463.0,0.368,3.9,20.9,52312.0,5.99650093E8,29.4,0.25,24.1
899,0.44,3.96,17.9,50678.0,25.0,42.0,"212031303",27.6,"Cranbourne South",1.76,5620.0,0.419,6.3,20.2,60548.0,3.40277786E8,27.2,0.24,28.4
900,0.47,3.25,13.1,48956.0,15.5,35.0,"212031304",35.3,"Cranbourne West",1.53,9049.0,0.348,3.6,19.9,51173.0,4.63063977E8,29.3,0.26,22.8
901,0.45,3.44,13.7,44183.0,11.2,39.0,"212031305",32.7,"Hampton Park - Lynbrook",1.55,12832.0,0.36,4.0,23.6,46356.0,5.94835377E8,32.5,0.23,23.3
904,0.41,4.37,16.9,48581.0,24.1,43.0,"212031457",26.1,"Narre Warren South (East)",1.8,7631.0,0.424,5.2,22.9,57894.0,4.41791849E8,26.9,0.21,27.8
905,0.44,3.76,15.4,46509.0,17.1,40.0,"212031458",30.4,"Narre Warren South (West)",1.65,8871.0,0.386,4.8,22.6,51862.0,4.60072072E8,29.8,0.23,25.6
906,0.4,4.35,16.2,45207.0,18.8,42.0,"212041309",27.5,"Clarinda - Oakleigh South",1.75,6638.0,0.42,4.5,26.0,51783.0,3.43738645E8,27.7,0.18,27.2
907,0.38,4.58,16.1,40149.0,14.0,35.0,"212041310",26.4,"Clayton South",1.74,7015.0,0.423,4.8,30.4,45685.0,3.20476998E8,29.2,0.17,27.1
908,0.44,3.81,17.0,37323.0,9.6,35.0,"212041311",25.4,"Dandenong",1.69,14768.0,0.41,6.0,29.1,42502.0,6.27663472E8,35.9,0.21,27.3
909,0.41,4.07,15.9,41992.0,13.8,40.0,"212041312",28.1,"Dandenong North",1.68,11533.0,0.405,5.0,26.5,47033.0,5.42429976E8,31.6,0.19,26.4
910,0.36,5.17,18.8,48051.0,24.4,47.0,"212041313",25.3,"Dingley Village",1.85,6421.0,0.453,6.4,26.0,58626.0,3.76434346E8,24.3,0.15,30.1
915,0.41,3.93,14.4,41184.0,10.8,35.0,"212041459",30.1,"Noble Park - East",1.62,6691.0,0.388,4.1,28.3,43924.0,2.93898568E8,30.8,0.2,24.7
911,0.41,4.14,17.7,46015.0,18.3,40.0,"212041314",29.0,"Keysborough",1.7,15103.0,0.421,6.3,24.9,52990.0,8.0031538E8,27.7,0.18,28.2
912,0.41,4.01,14.8,43704.0,14.4,41.0,"212041316",29.7,"Noble Park North",1.64,3821.0,0.396,4.2,25.8,47407.0,1.81143989E8,30.1,0.2,25.2
913,0.39,4.42,16.8,35369.0,9.5,36.0,"212041317",23.8,"Springvale",1.71,10891.0,0.428,5.1,34.0,40442.0,4.40453283E8,32.7,0.17,27.8
914,0.4,4.08,15.6,39649.0,10.0,39.0,"212041318",26.7,"Springvale South",1.61,6405.0,0.4,4.6,29.7,42777.0,2.73985932E8,33.7,0.2,26.0
916,0.4,4.08,14.6,39231.0,9.7,37.0,"212041460",27.7,"Noble Park - West",1.62,9388.0,0.393,4.1,29.8,42015.0,3.94437148E8,32.9,0.18,25.0
917,0.34,5.7,19.5,47564.0,26.4,39.0,"212051319",23.0,"Ashwood - Chadstone",1.96,10858.0,0.475,6.6,27.3,60464.0,6.56520906E8,23.4,0.14,31.2
918,0.29,7.05,19.6,35296.0,15.8,33.0,"212051320",22.1,"Clayton",2.03,9572.0,0.49,7.0,36.6,45295.0,4.33561003E8,25.4,0.1,31.4
919,0.27,8.27,22.5,40000.0,24.2,47.0,"212051321",19.3,"Glen Waverley - East",2.26,12978.0,0.534,8.1,34.2,57032.0,7.40166272E8,22.3,0.09,35.1
920,0.29,7.6,21.6,40629.0,23.6,45.0,"212051322",20.5,"Glen Waverley - West",2.2,11497.0,0.518,7.7,33.1,56209.0,6.46237818E8,22.8,0.1,33.9
921,0.3,7.21,22.5,44434.0,27.3,47.0,"212051323",19.8,"Mount Waverley - North",2.15,9666.0,0.52,8.3,30.8,62027.0,5.99556896E8,22.2,0.11,34.8
922,0.31,6.55,21.5,46393.0,27.1,44.0,"212051324",21.4,"Mount Waverley - South",2.06,11519.0,0.505,7.8,28.8,62081.0,7.15110982E8,22.8,0.12,33.5
923,0.37,4.89,19.4,46912.0,22.5,42.0,"212051325",26.2,"Mulgrave",1.82,11083.0,0.455,7.4,25.9,57228.0,6.34255888E8,25.5,0.15,30.4
924,0.37,5.01,17.4,49202.0,25.5,39.0,"212051326",25.3,"Oakleigh - Huntingdale",1.85,12608.0,0.444,5.4,25.0,58785.0,7.41164569E8,24.2,0.16,28.7
925,0.32,6.68,25.0,45197.0,26.2,48.0,"212051327",21.3,"Wheelers Hill",2.1,12383.0,0.531,11.1,29.7,64230.0,7.95365969E8,22.8,0.11,36.9
926,0.43,4.05,15.2,41578.0,14.2,35.0,"213011328",27.3,"Ardeer - Albion",1.73,4057.0,0.401,4.2,26.9,46639.0,1.89213702E8,31.7,0.2,25.9
962,0.4,4.22,15.9,44762.0,17.0,40.0,"213051362",28.9,"Hoppers Crossing - South",1.7,10351.0,0.411,4.7,25.7,50331.0,5.20977475E8,28.3,0.18,26.5
927,0.38,4.42,16.2,46480.0,18.9,40.0,"213011329",29.3,"Cairnlea",1.7,5349.0,0.415,5.3,26.0,52140.0,2.78896581E8,25.9,0.19,26.7
930,0.41,4.22,16.1,46550.0,19.6,42.0,"213011332",28.3,"Keilor Downs",1.73,7347.0,0.415,5.0,24.5,52925.0,3.88836903E8,27.5,0.18,26.8
928,0.42,3.87,14.7,46765.0,16.9,37.0,"213011330",31.1,"Deer Park - Derrimut",1.64,13437.0,0.386,4.2,23.7,50950.0,6.84619608E8,28.3,0.21,25.0
931,0.42,3.85,14.6,41394.0,10.6,39.0,"213011333",29.5,"Kings Park (Vic.)",1.62,6253.0,0.383,4.3,27.1,44438.0,2.77872393E8,32.8,0.21,24.7
932,0.4,4.14,15.2,37904.0,9.8,36.0,"213011334",26.5,"St Albans - North",1.67,9369.0,0.402,4.3,31.2,41719.0,3.90861514E8,32.6,0.19,25.7
941,0.4,4.39,16.0,51219.0,25.3,38.0,"213021343",27.9,"Altona North",1.75,7036.0,0.412,4.7,22.5,58728.0,4.13208226E8,24.4,0.2,26.7
933,0.39,4.36,15.2,37108.0,9.9,36.0,"213011335",25.7,"St Albans - South",1.71,7982.0,0.408,4.3,32.1,41241.0,3.29186064E8,32.3,0.19,25.8
935,0.41,4.22,15.4,38981.0,12.5,38.0,"213011337",25.9,"Sunshine North",1.74,5690.0,0.409,4.3,29.0,44155.0,2.51242392E8,32.6,0.19,26.2
934,0.42,4.34,15.8,40008.0,15.3,35.0,"213011336",25.8,"Sunshine",1.81,5306.0,0.418,4.7,28.3,46975.0,2.49250714E8,30.5,0.19,26.7
937,0.43,3.95,15.1,46909.0,19.0,39.0,"213011339",29.1,"Sydenham",1.7,6718.0,0.392,4.4,23.4,52299.0,3.51341782E8,28.5,0.22,25.4
936,0.41,4.16,15.0,41970.0,13.7,37.0,"213011338",28.5,"Sunshine West",1.69,9172.0,0.399,4.2,27.8,46262.0,4.24313959E8,30.0,0.19,25.4
938,0.41,4.52,17.4,49266.0,25.1,45.0,"213011340",25.9,"Taylors Lakes",1.83,11208.0,0.43,5.6,23.1,59646.0,6.68507556E8,25.8,0.2,28.5
939,0.37,4.94,17.5,54168.0,30.2,43.0,"213021341",25.1,"Altona",1.85,7910.0,0.439,5.5,22.3,65344.0,5.16868678E8,22.4,0.16,28.7
940,0.41,4.11,15.0,50018.0,21.7,41.0,"213021342",30.0,"Altona Meadows",1.68,10722.0,0.395,4.4,22.3,55384.0,5.93825718E8,26.0,0.2,25.5
942,0.4,4.55,17.6,63703.0,38.0,41.0,"213021344",24.2,"Newport",1.82,10961.0,0.429,5.7,18.2,76882.0,8.42700631E8,19.5,0.21,28.6
943,0.43,3.89,14.6,51243.0,24.6,41.0,"213021345",28.7,"Seabrook",1.69,2868.0,0.389,4.0,20.6,57349.0,1.64477004E8,26.1,0.22,25.0
944,0.33,6.25,24.0,62563.0,38.5,47.0,"213021346",20.1,"Williamstown",2.07,9706.0,0.513,9.3,21.8,87460.0,8.48889914E8,19.5,0.16,35.9
949,0.4,4.4,15.9,50429.0,24.1,36.0,"213031351",27.7,"West Footscray - Tottenham",1.74,7018.0,0.411,4.7,23.3,57404.0,4.02860269E8,24.9,0.2,26.6
945,0.39,4.53,16.7,43162.0,17.4,34.0,"213031347",26.8,"Braybrook",1.77,9656.0,0.425,5.2,27.6,49839.0,4.81246701E8,28.1,0.18,27.5
946,0.39,4.65,16.7,44970.0,20.4,33.0,"213031348",26.0,"Footscray",1.81,10319.0,0.428,5.0,26.7,52664.0,5.43435818E8,26.8,0.18,27.6
947,0.39,4.57,19.8,51291.0,25.8,36.0,"213031349",27.0,"Maribyrnong",1.8,8028.0,0.454,7.2,23.0,62566.0,5.0228251E8,24.2,0.2,30.9
948,0.42,4.24,16.2,60578.0,35.0,38.0,"213031350",26.7,"Seddon - Kingsville",1.79,5766.0,0.411,4.7,17.7,71878.0,4.14450214E8,20.6,0.22,27.1
950,0.4,4.37,17.3,64295.0,38.3,39.0,"213031352",24.1,"Yarraville",1.76,9239.0,0.425,5.3,18.0,76250.0,7.04475985E8,19.6,0.2,28.2
951,0.4,4.34,16.2,51733.0,25.7,42.0,"213041353",27.5,"Bacchus Marsh",1.75,11743.0,0.411,5.3,21.8,59609.0,6.99990382E8,25.0,0.19,26.7
952,0.46,3.67,15.2,52568.0,24.5,39.0,"213041355",30.3,"Hillside",1.67,11999.0,0.386,4.4,18.8,59363.0,7.12301053E8,26.4,0.26,25.6
953,0.42,3.87,15.3,46255.0,16.7,40.0,"213041356",30.7,"Melton",1.64,9880.0,0.391,4.5,23.5,50733.0,5.01242131E8,29.1,0.2,25.5
954,0.44,3.76,14.3,48610.0,19.1,38.0,"213041357",31.3,"Melton South",1.64,11389.0,0.379,3.9,21.6,53067.0,6.04385749E8,28.0,0.22,24.5
955,0.43,3.89,14.6,45460.0,16.5,40.0,"213041358",29.9,"Melton West",1.66,4859.0,0.386,4.0,24.0,50053.0,2.4320699E8,29.6,0.22,24.8
956,0.45,3.52,14.1,43924.0,14.1,41.0,"213041359",30.4,"Rockbank - Mount Cottrell",1.58,854.0,0.382,3.7,23.6,47870.0,4.0880743E7,31.9,0.26,24.5
957,0.41,4.13,15.3,52300.0,25.4,39.0,"213041360",28.7,"Taylors Hill",1.71,10356.0,0.397,4.6,21.0,58907.0,6.10038044E8,24.9,0.22,25.7
958,0.41,4.09,15.3,48628.0,19.6,41.0,"213041461",30.8,"Burnside",1.66,2604.0,0.396,4.6,23.5,53419.0,1.39103648E8,26.2,0.19,25.6
959,0.43,3.96,14.5,50208.0,22.7,38.0,"213041462",29.1,"Burnside Heights",1.7,3251.0,0.386,4.0,21.4,55810.0,1.81437517E8,26.8,0.22,24.9
960,0.41,4.18,16.5,53155.0,26.0,40.0,"213041463",28.6,"Caroline Springs",1.71,11113.0,0.406,5.6,21.1,60706.0,6.74630723E8,24.3,0.22,26.8
961,0.43,3.96,16.0,47372.0,19.1,41.0,"213051361",29.7,"Hoppers Crossing - North",1.68,11196.0,0.401,4.9,22.9,53595.0,6.00046734E8,28.3,0.21,26.5
963,0.42,4.25,17.0,46260.0,20.6,34.0,"213051363",27.1,"Laverton",1.78,5778.0,0.424,5.3,24.5,53966.0,3.11814559E8,27.9,0.2,27.9
964,0.43,3.89,14.8,48186.0,19.5,35.0,"213051365",30.4,"Tarneit",1.66,20308.0,0.387,4.3,22.3,53405.0,1.084558681E9,27.9,0.23,25.1
965,0.42,3.93,14.8,48291.0,19.6,34.0,"213051366",30.3,"Truganina",1.66,13583.0,0.387,4.5,22.8,53233.0,7.23065835E8,27.3,0.24,25.1
966,0.4,4.37,17.6,50542.0,24.9,43.0,"213051368",27.4,"Werribee - South",1.76,6914.0,0.424,5.8,22.7,59566.0,4.11841714E8,25.0,0.21,28.4
967,0.43,3.72,14.3,50157.0,20.0,36.0,"213051369",32.1,"Wyndham Vale",1.62,13064.0,0.375,4.1,21.0,54340.0,7.09902977E8,27.0,0.23,24.4
968,0.37,5.15,19.3,53208.0,30.1,38.0,"213051464",23.9,"Point Cook - East",1.89,7939.0,0.468,6.5,23.6,66413.0,5.27250474E8,22.4,0.15,31.0
969,0.38,4.73,16.4,53362.0,28.7,39.0,"213051465",25.4,"Point Cook - North",1.79,12983.0,0.425,5.0,22.8,61907.0,8.03740345E8,23.0,0.17,27.2
971,0.42,3.92,15.7,45201.0,16.3,39.0,"213051467",29.9,"Werribee - East",1.66,9839.0,0.398,5.0,24.4,50169.0,4.93615343E8,29.3,0.21,26.1
972,0.44,3.79,16.1,50388.0,21.8,39.0,"213051468",30.4,"Werribee - West",1.67,7605.0,0.399,5.0,20.6,57212.0,4.3509947E8,27.2,0.21,26.6
973,0.47,3.26,14.7,49134.0,16.5,40.0,"214011370",34.6,"Carrum Downs",1.54,11691.0,0.363,4.8,19.6,52676.0,6.15829589E8,29.4,0.24,24.4
974,0.39,4.43,15.8,46119.0,18.5,42.0,"214011371",28.8,"Frankston",1.71,12213.0,0.412,4.7,25.5,51374.0,6.27436198E8,27.2,0.17,26.4
